id,name,date_release,book_rating,book_genres,description,author,photo,ebup
1,"Посмотри, отвернись, посмотри",2023 год.,4.83,"Современные детективы

","Полина Журавлева и Александра Нечаева живут в параллельных мирах. Одна – москвичка, любимица своих близких. Другая – провинциалка, ребенок из неблагополучной семьи, не сохранившая ни друзей, ни привязанностей.",Елена Михалкова,https://flibusta.su/b/img/big/182385.jpg,https://flibusta.su/book/182385-posmotri-otvernis-posmotri/d/?f=epub
2,Поиски утраченного завтра,2024 год.,4.8,"Боевая фантастика, Космическая фантастика

","Мне тридцать лет. Меня зовут Никита и полвека назад я спас человечество.Как вы и сами понимаете, за это меня часто пытаются убить.Это довольно глупо, конечно. Бессмысленная потеря времени, я каждый раз пытаюсь это объяснить.Но в этот раз, кажется, у них может что-то получиться.Ещё бы понять – кто эти «они».",Сергей Лукьяненко,https://flibusta.su/b/img/big/208013.jpg,https://flibusta.su/book/208013-poiski-utrachennogo-zavtra/d/?f=epub
3,Слеза Рода,2024 год.,4.86,"Городское фэнтези, Книги про волшебников

","Всем известно – не стоит опускать руки, даже в том случае, если все пошло не так, как планировалось. Да, не все люди поступают так, когда к ним приходит беда, но Максим Чарушин, потерпевший поражение на Урале, придерживается именно этой точки зрения. Тем более, что следы артефакта под названием «Слеза Рода» ведут в Москву, его родной город, а дома, как известно, и стены помогают. Плюс у него в колоде осталось еще несколько козырей, до сих пор не выложенных на стол и дающих неплохие шансы на то, что заказ, который он взял, все же будет выполнен, и он получит ту награду, которая ему крайне нужна. А потом… Потом придет время вернуть давний долг.",Андрей Васильев,https://flibusta.su/b/img/big/353694.jpg,https://flibusta.su/book/353694-sleza-roda/d/?f=epub
4,"Травница, или Как выжить среди магов",2023 год.,4.88,"Любовное фэнтези, Фэнтези про драконов

","В последний момент заменить сестру у алтаря и стать женой грозного и таинственного мага? А что делать, если на кону стоит судьба родных.Впереди фиктивный брак и жизнь в столице.И как теперь выжить обычной травнице с окраины в окружении самых могущественных магов империи, когда сама ни силами, ни способностями не обладаешь, а ликвидировать тебя мечтают многие?Козни соперниц, покушения, новая работа и загадочный хозяин Теней, при встрече с которым сердце начинает биться быстрее.",Татьяна Серганова,https://flibusta.su/b/img/big/179808.jpg,https://flibusta.su/book/179808-travnitsa-ili-kak-vyizhit-sredi-magov/d/?f=epub
5,Колодец и бабочка,2024 год.,4.65,"Современные детективы

","Один кот.

Один миллион рублей.

Одно убийство.

Кража, мошенничество, предательство…

И очень, очень много лжи.

У частных сыщиков Макара Илюшина и Сергея Бабкина новое дело – возможно, самое странное за всю их карьеру.",Елена Михалкова,https://flibusta.su/b/img/big/348519.jpg,https://flibusta.su/book/348519-kolodets-i-babochka/d/?f=epub
7,Звездная Кровь – 7. Дикая Охота,2024 год.,4.89,"Боевая фантастика, Героическое фэнтези, Киберпанк

","Земной фригольд получил юное Игг-Древо, а я – золотую награду и Травинку-на-Ветру, что дороже всякого золота. Теперь я Восходящий, глава боевого копья и первый пилот фригольда.",Роман Прокофьев,https://flibusta.su/b/img/big/212206.jpg,https://flibusta.su/book/212206-zvezdnaya-krov7-dikaya-ohota/d/?f=epub
8,С приветом из другого мира!,2024 год.,4.84,"Любовное фэнтези, Юмористическое фэнтези

","В старом замке возле озера мертвых жил-поживал темный колдун. Тихо и спокойно, почти никого не трогал, пока старый король не приказал ему жениться. В пятый раз. И быть этой сказке самой печальной историей о несчастном браке, ведь добровольно никто не пойдет к алтарю с воплощением зла… Но в жены ему досталась я, случайная гостья из другого мира. Я планирую жить в его замке долго и счастливо. С большим комфортом! Даже если колдун категорически против.",Марина Владимировна Ефиминюк,https://flibusta.su/b/img/big/353695.jpg,https://flibusta.su/book/353695-s-privetom-iz-drugogo-mira/d/?f=epub
9,Круть,2024 год.,4.39,"Русское совр.

","Идет третий век Зеленой Эры. Имплант-коррекция “Открытого Мозга” превратила женщин в доминантный гендер, и в уголовной иерархии изменился баланс сил. На ее вершину поднялся фем-блатняк – безжалостные куры-заточницы. Противостоять им не может никто из биологических мужчин, но есть нюанс.",Виктор Пелевин,https://flibusta.su/b/img/big/216544.jpg,https://flibusta.su/book/216544-krut/d/?f=epub
10,Любимая для монстра,2024 год.,4.77,"Любовное фэнтези, Магические академии, Попаданцы

","Могла ли я представить, что визит к гадалке обернется новой жизнью?",Ольга Гусейнова,https://flibusta.su/b/img/big/353696.jpg,https://flibusta.su/book/353696-lubimaa-dla-monstra/d/?f=epub
11,Кровь на клинке,2023 год.,4.76,"Боевая фантастика, Историческая фантастика, Попаданцы

","Очнувшись после ранения, Руслан понимает, что его в этом мире приняли за своего, и теперь всё зависит только от него самого. Теперь необходимо, чтобы все вокруг перестали удивляться его необычности и считали, что он хоть и со странностями, но в доску свой. А значит, все его дела идут на пользу империи. А для начала нужно просто вернуть себе былую форму. Но даже ранение не может заставить его бросить начатое дело. Ведь главное для парня – закончить междоусобицу, из-за которой на Кавказе долгие годы льётся кровь.",Ерофей Трофимов,https://flibusta.su/b/img/big/182234.jpg,https://flibusta.su/book/182234-krov-na-klinke/d/?f=epub
