id,name
1,young adult
2,альтернативная медицина
3,астрология
4,балет
5,биографии и мемуары
6,боевая фантастика
7,боевики
8,боевое фэнтези
9,героическая фантастика
10,героическое фэнтези
11,городское фэнтези
12,детективная фантастика
13,детективное фэнтези
14,документальное
15,зарубежная классика
16,зарубежное сов.
17,зарубежное фэнтези
18,зарубежные детективы
19,зарубежные романы
20,здоровое питание
21,здоровье
22,иронические детективы
23,истории из жизни
24,истории успеха
25,историческая литература
26,историческая фантастика
27,исторические детективы
28,исторические романы
29,историческое фэнтези
30,киберпанк
31,классические детективы
32,книги о войне
33,книги о приключениях
34,книги про вампиров
35,книги про волшебников
36,короткие романы
37,космическая фантастика
38,легкая проза
39,литература 20 века
40,личностный рост
41,любовное фэнтези
42,магические академии
43,мистика
44,научная фантастика
45,о психологии популярно
46,общая психология
47,оккультизм
48,опера
49,остросюжетные романы
50,переговоры
51,полицейские детективы
52,попаданцы
53,популярно о медицине
54,популярно об истории
55,похудение и диеты
56,практическая эзотерика
57,приключения
59,психология
60,психотерапия
61,публицистика
62,русское совр.
63,русское фэнтези
64,саморазвитие
65,совр. романы
66,современные детективы
67,социальная фантастика
68,стимпанк
69,триллеры
70,ужасы
71,успешные переговоры
72,фантастические романы
73,фэнтези про драконов
74,эзотерика
75,эротическая литература
76,эротические романы
77,эротическое фэнтези
78,юмористическая проза
79,юмористич. фантастика
80,юмористическое фэнтези
