id,name,year,rating,status,genre,episodes,time,studio,description,img
1,Поэзия теней 3 сезон,2023,6.72,Онгоинг,Фэнтези,25 эп.,25 мин.,Zexcs,"Хиро, молодой парень, просыпается и сразу же приглашается на завтрак своим дедушкой. В ходе завтрака Хиро начинает просить деда купить ему смартфон. Выйдя из дома, он оказывается в темноте, слышит непонятный голос, но момент быстро проходит. В подсобном помещении он находит устройство, похожее на смартфон, и радостно его включает. По пути в школу Хиро изучает функционал нового устройства. В школе он демонстрирует это устройство Мимори и Кадзуки, надеясь играть с ними в мобильные игры. Однако",https://animego-online.org/uploads/posts/2023-08/5174883_1691428081.jpg
2,История империи Тиамун,2023,7.22,Онгоинг,"Комедия, Фэнтези",12 эп. из 12,23 мин.,SILVER LINK.,"Принцесса Мию, столкнувшись с неминуемой гибелью и разрушением своей империи, Тиамун, внезапно находит себя в водовороте времени и оказывается в теле своего младшего ""я"". Такая неожиданная смена временных координат предоставляет ей второй шанс — возможность переписать историю и возможно спасти своё королевство от предстоящего краха. Теперь Мию имеет уникальный шанс провести ценные моменты со своими родителями и друзьями, которых она знала как утраченных в будущем. Она осознает, что ей",https://animego-online.org/uploads/posts/2023-10/0_1696891082.jpg
3,Заботы запертой принцессы вампиров,2023,7.38,Онгоинг,"Комедия, Вампиры, Фэнтези",11 эп. из 12,23 мин.,Project No.9,"История, описанная в вашем вопросе, рассказывает о приключениях принцессы вампиров, которая отправляется в мир людей, чтобы защитить их от опасной магической расы, называемой Сигма. Принцесса становится обычной школьницей, чтобы не привлекать к себе внимание и более эффективно искать Сигму. Ей помогает ее верный слуга, и вместе они сражаются против пришельцев. История подчеркивает конфликт между вампирами и людьми, а также проблемы доверия со стороны людей. Принцесса сталкивается с множеством",https://animego-online.org/uploads/posts/2023-10/0_1696889222.jpg
4,Паладин издалека 2 сезон,2021,7.23,Онгоинг,"Приключения, Фэнтези, Экшен",12 эп.,23 мин.,"OLM, Sunrise Beyond","В стране мёртвых, где обитают скелеты, призраки и мумии, человеческий ребёнок по имени Уилл оказывается лишённым прошлого и идентичности. Заботясь о нём, нечисть, состоящая из Блада, скелета, Гаса, прозрачного призрака, и Мэри, мумии, становится для Уилла своего рода семьёй. Вместе с этими странными, но преданными спутниками, Уилл пытается разгадать загадку своего прошлого и места в стране мёртвых. Он отправляется в путешествие, полное тайн и открытий, чтобы раскрывать свою настоящую сущность и",https://animego-online.org/uploads/posts/2023-10/4438605_1696890002.jpg
5,Семья шпиона 2 сезон,2023,0.0,Онгоинг,"Сёнен, Комедия, Экшен",12 эп.,24 мин.,"Wit Studio, CloverWorks","Эта история описывает комедийное приключение главного героя, известного шпиона ""Сумрака"", и его команды, которая создается для выполнения сложной и опасной миссии. Главной целью ""Сумрака"" является внедрение в преступную организацию, и чтобы оставаться незамеченным, ему нужно создать фиктивную семью. Вместе с убийцей, представляющей его ""невесту"", и молодой шпионкой, изображающей его дочь, они начинают жить двойной жизнью. По мере развития сюжета, фиктивная семья",https://animego-online.org/uploads/posts/2023-10/4686248_1696708982.jpg
6,Магия вернувшегося должна быть особенной,2023,7.06,Онгоинг,"Школа, Фэнтези, Экшен",12 эп. из 12,23 мин.,Arvo Animation,"Предстоит катастрофа глобальных масштабов, виновником которой является ""Теневой лабиринт"", поглощающий землю. Это не просто физическое место, а совокупность альтернативных миров, где ключевые события исказились и привели к катастрофическим результатам. Эти миры фактически представляют собой измерения, где история пошла по кривой дорожке, и именно там наши герои вступают в игру, стараясь исправить ход событий посредством выполнения определенных заданий. Успех приносит бонусы и",https://animego-online.org/uploads/posts/2023-10/0_1696891503.jpg
7,Монолог фармацевта,2023,8.61,Онгоинг,"Детектив, Драма",12 эп. из 24,23 мин.,"OLM, TOHO animation STUDIO","Этот рассказ повествует о молодой женщине по имени Макото, которая живет в японскую эпоху Эдо. Она профессионально занимается изготовлением лекарств и помогает людям обрести здоровье, используя для этого лечебные травы и различные медикаменты. Макото не обладает сверхъестественными способностями, но благодаря своим обширным знаниям и опыту она способна помочь тем, кто в этом нуждается. Ее жизнь проста и полностью посвящена своему ремеслу, и хотя она уделяет всё время своей работе, в ее сердце",https://animego-online.org/uploads/posts/2023-11/6548ae1e319ce_1699261982.jpg
8,Не ешь сырую свинину,2023,6.31,Онгоинг,"Комедия, Фэнтези",11 эп. из 12,23 мин.,Project No.9,"История рассказывает о необычном приключении главного героя, который сталкивается с магическим происшествием после попытки попробовать блюдо из свиного печени в забегаловке возле вокзала. В результате плохо приготовленного блюда он теряет сознание и просыпается в совершенно иной реальности, находясь в теле маленького поросёнка. Этот персонаж, несмотря на свою новую форму, сохраняет воспоминания из своей прошлой жизни. Основной сюжет истории заключается в том, как главный герой, находясь в теле",https://animego-online.org/uploads/posts/2023-10/0_1696891022.jpg
9,Мой новый босс глупый,2023,7.29,Онгоинг,Комедия,12 эп. из 12,23 мин.,A-1 Pictures,"Эта история рассказывает о Момосе, молодом человеке, пережившем разочарования и испытания, особенно в связи с унижением со стороны предыдущего начальника. Его жизнь меняется, когда он встречает нового начальника, Ширасаки, который отличается искренностью и вниманием к Момосе. Под его руководством Момосе начинает новую главу своей жизни, чувствуя себя ценным и уважаемым членом команды. История подчеркивает важность поддержки, внимания и уважения со стороны начальства в рабочей среде. Под",https://animego-online.org/uploads/posts/2023-10/0_1696891621.jpg
10,Безупречный мир,2021,7.44,Онгоинг,"Приключения, Фэнтези, Экшен",124 эп. из 130,19 мин.,Foch Films,"Рожденный в уникальном мире, где деревни сражаются за власть и контроль, главный персонаж Ши Хао - гений, благословленный небесами, рожденный в самых неблагоприятных условиях. Однако его клан имеет таинственное прошлое. Чтобы подняться и стать тем гением, для которого он предназначен, клан прикладывает все усилия, чтобы помочь ему в культивации, сражаясь с фанатичными монстрами и вступая в борьбу за власть с другими кланами. Его путешествие приведет его сквозь неизведанные земли, пока он не",https://animego-online.org/uploads/posts/2023-08/64e431f280dd1_1692676594.jpg
11,Рагна Багровый,2023,7.8,Онгоинг,"Сёнен, Фэнтези, Экшен",12 эп. из 24,24 мин.,SILVER LINK.,"Эта история разворачивается в мире, где драконы управляют землей, небом и морем, и никакие другие существа не могут сравниться с их мощью и властью. В этом мире есть люди, стремящиеся вызвать драконов на бой, надеясь одержать победу, но это требует преодоления человеческой слабости и нахождения способа сравниться с этими могущественными существами. Главным героем и охотником на драконов является Рагне, который после многих лет тренировок и сражений осознает, что даже его собственные усилия",https://animego-online.org/uploads/posts/2023-10/0_1696846322.jpg
